,wl,qe
,270.0,4.7653
,280.0,10.633
,290.0,19.035
,300.0,28.343
,310.0,34.005
,320.0,37.289
,330.0,38.969
,340.0,39.406
,350.0,39.385
,360.0,38.957
,370.0,38.877
,380.0,39.024
,390.0,38.368
,400.0,37.589
,410.0,36.74
,420.0,35.833
,430.0,34.312
,440.0,32.91
,450.0,31.288
,460.0,29.234
,470.0,26.718
,480.0,24.508
,490.0,22.756
,500.0,21.406
,510.0,19.98
,520.0,17.599
,530.0,14.1
,540.0,11.153
,550.0,9.3099
,560.0,8.0785
,570.0,7.0467
,580.0,6.0938
,590.0,5.1902
,600.0,4.3187
,610.0,3.5076
,620.0,2.7654
,630.0,2.111
,640.0,1.5489
,650.0,1.09
,660.0,0.73134
,670.0,0.46737
,680.0,0.28503
,690.0,0.16689
,700.0,0.093183
